student_id,student_name,grade,parent_id,parent_email,status
1,Name_1,6,1,default,active
2,Name_2,6,2,default,active
3,Name_3,6,3,default,active
4,Name_4,6,4,default,active
5,Name_5,6,5,default,active
6,Name_6,6,6,default,active
7,Name_7,6,7,default,active
8,Name_8,6,8,default,active
9,Name_9,6,9,default,active
10,Name_10,6,10,default,active
11,Name_11,6,11,default,active
12,Name_12,6,12,default,active
13,Name_13,6,13,default,active
14,Name_14,6,14,default,active
15,Name_15,6,15,default,active
16,Name_16,7,16,default,active
17,Name_17,7,17,default,active
18,Name_18,7,18,default,active
19,Name_19,7,19,default,active
20,Name_20,7,20,default,active
21,Name_21,7,21,default,active
22,Name_22,7,22,default,active
23,Name_23,7,23,default,active
24,Name_24,7,24,default,active
25,Name_25,7,25,default,active
26,Name_26,7,26,default,active
27,Name_27,7,27,default,active
28,Name_28,7,28,default,active
29,Name_29,7,29,default,active
30,Name_30,7,30,default,active
31,Name_31,7,31,default,active
32,Name_32,8,32,default,active
33,Name_33,8,33,default,active
34,Name_34,8,34,default,active
35,Name_35,8,35,default,active
36,Name_36,8,36,default,active
37,Name_37,8,37,default,active
38,Name_38,8,38,default,active
39,Name_39,8,39,default,active
40,Name_40,8,40,default,active
41,Name_41,8,41,default,active
42,Name_42,8,42,default,active
43,Name_43,8,43,default,active
44,Name_44,8,44,default,active
45,Name_45,8,45,default,active
46,Name_46,8,46,default,active
47,Name_47,8,47,default,active
48,Name_48,8,48,default,active
49,Name_49,8,49,default,active
50,Name_50,8,50,default,active
